,000016.SH.close_price,000016.SH.high_price,000016.SH.low_price,000016.SH.market_price,000016.SH.notional,000016.SH.open_price,000016.SH.trade_count,000016.SH.volume,600028.SH.market_price,600030.SH.market_price,600031.SH.market_price,600036.SH.market_price,600048.SH.market_price,600050.SH.market_price,600089.SH.market_price,600104.SH.market_price,600150.SH.market_price,600276.SH.market_price,600309.SH.market_price,600406.SH.market_price,600436.SH.market_price,600438.SH.market_price,600519.SH.market_price,600690.SH.market_price,600809.SH.market_price,600887.SH.market_price,600900.SH.market_price,600941.SH.market_price,601012.SH.market_price,601088.SH.market_price,601166.SH.market_price,601225.SH.market_price,601288.SH.market_price,601318.SH.market_price,601328.SH.market_price,601390.SH.market_price,601398.SH.market_price,601601.SH.market_price,601628.SH.market_price,601633.SH.market_price,601658.SH.market_price,601668.SH.market_price,601669.SH.market_price,601728.SH.market_price,601857.SH.market_price,601888.SH.market_price,601899.SH.market_price,601919.SH.market_price,601985.SH.market_price,601988.SH.market_price,603259.SH.market_price,603288.SH.market_price,603501.SH.market_price,603986.SH.market_price,688012.SH.market_price,688041.SH.market_price,688111.SH.market_price,688981.SH.market_price,IH_MAIN.market_price,Grid.DivergenceIndexAdaptiveMonitor.5.Diff,Grid.DivergenceIndexAdaptiveMonitor.5.Diff.EMA,Grid.DivergenceIndexAdaptiveMonitor.5.Index,GridCV.Selected.Diff,GridCV.Selected.Diff.EMA,GridCV.Selected.Index,Grid.DivergenceIndexAdaptiveMonitor.0.Diff,Grid.DivergenceIndexAdaptiveMonitor.0.Diff.EMA,Grid.DivergenceIndexAdaptiveMonitor.0.Index,Grid.DivergenceIndexAdaptiveMonitor.1.Diff,Grid.DivergenceIndexAdaptiveMonitor.1.Diff.EMA,Grid.DivergenceIndexAdaptiveMonitor.1.Index,Grid.DivergenceIndexAdaptiveMonitor.2.Diff,Grid.DivergenceIndexAdaptiveMonitor.2.Diff.EMA,Grid.DivergenceIndexAdaptiveMonitor.2.Index,Grid.DivergenceIndexAdaptiveMonitor.3.Diff,Grid.DivergenceIndexAdaptiveMonitor.3.Diff.EMA,Grid.DivergenceIndexAdaptiveMonitor.3.Index,Grid.DivergenceIndexAdaptiveMonitor.4.Diff,Grid.DivergenceIndexAdaptiveMonitor.4.Diff.EMA,Grid.DivergenceIndexAdaptiveMonitor.4.Index,SyntheticIndex.close_price,SyntheticIndex.high_price,SyntheticIndex.low_price,SyntheticIndex.market_price,SyntheticIndex.notional,SyntheticIndex.open_price,SyntheticIndex.trade_count,SyntheticIndex.volume
1724981400.0,0.989383697798148,0.9918806528047552,0.989037755897592,0.9895736819213602,507846564.4499999,0.9914634882100432,21035.0,39688900.0,6.87,18.75,15.68,32.85,7.71,4.68,12.4,12.43,38.76,44.14,70.85,23.73,205.5,18.75,1408.01,23.43,165.6,21.58,29.3,105.99,13.54,40.69,16.63,24.23,4.65,42.94,7.47,5.7,6.18,28.95,32.7,22.76,4.88,5.31,4.78,6.19,8.92,58.99,15.92,12.5,10.94,4.89,38.62,34.78,87.52,70.03,132.51,75.12,182.28,47.0,2311.2,0.0,0.0,0.0,0.0,0.0,0.0,1.356469327323412e-05,4.636242986027076e-06,2.756379484571557e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.2913923566477473e-05,3.8612526243760935e-06,2.5960242794700078e-05,0.0,0.0,0.0,0.989383697798148,0.9918806528047552,0.989037755897592,0.9895736819213602,507846564.4499999,0.9914634882100432,21035.0,39688900.0
1724981410.0,0.9895736819213602,0.9901727322058661,0.9890592537579762,0.9887229483361113,370388709.3900001,0.989383697798148,20246.0,27317305.0,6.85,18.8,15.52,32.75,7.72,4.69,12.41,12.35,38.72,44.05,70.62,23.82,205.46,18.8,1405.97,23.32,165.41,21.5,29.33,105.78,13.56,40.69,16.57,24.23,4.65,42.96,7.45,5.71,6.18,29.0,32.71,22.66,4.87,5.34,4.78,6.2,8.9,58.81,15.87,12.51,10.94,4.89,38.46,34.99,87.78,70.32,132.54,74.98,182.46,47.02,2311.2,0.0,0.0,0.0,0.0,0.0,0.0,-3.7525120063415635e-05,-8.546669520745188e-06,-3.772193851989428e-05,0.0,0.0,0.0,0.0,0.0,0.0,-2.474631625039922e-05,-1.2341482345698677e-05,-6.013804071188841e-05,0.0,0.0,0.0,0.9895736819213602,0.9901727322058661,0.9890592537579762,0.9887229483361113,370388709.3900001,0.989383697798148,20246.0,27317305.0
1724981420.0,0.9887229483361113,0.9895913743480994,0.9884771492977553,0.9889476121118371,362424547.9099996,0.9895736819213602,16228.0,24941473.0,6.84,18.78,15.51,32.75,7.72,4.68,12.42,12.27,38.69,44.13,70.65,23.82,205.0,18.86,1406.29,23.3,165.8,21.64,29.29,105.76,13.61,40.67,16.59,24.15,4.63,43.14,7.45,5.69,6.17,29.0,32.89,22.8,4.86,5.32,4.78,6.2,8.9,59.02,15.85,12.5,10.93,4.88,38.5,35.16,87.79,70.44,132.86,75.0,183.5,46.93,2311.0,0.0,0.0,0.0,-1.3040389355329267e-05,-9.917270872048932e-06,-5.872284561147346e-05,-5.835754123916581e-06,-6.949073741188592e-06,-4.50878721164824e-05,-1.3040389355329267e-05,-9.917270872048932e-06,-5.872284561147346e-05,0.0,0.0,0.0,-8.284340096924802e-07,-7.108594178350927e-06,-5.1601751194294576e-05,-1.2131237904511139e-05,-1.02816689170505e-05,-6.0512901279734525e-05,0.9887229483361113,0.9895913743480994,0.9884771492977553,0.9889476121118371,362424547.9099996,0.9895736819213602,16228.0,24941473.0
1724981430.0,0.9889476121118371,0.9895745903601838,0.9885406646611684,0.9890397151405115,306007866.3300001,0.9887229483361113,14331.0,22842104.0,6.86,18.76,15.53,32.73,7.72,4.68,12.39,12.28,38.64,44.12,70.74,23.86,205.29,18.85,1407.98,23.28,166.0,21.61,29.31,105.72,13.6,40.76,16.56,24.21,4.63,43.14,7.44,5.69,6.15,28.99,32.92,22.8,4.87,5.32,4.78,6.2,8.92,59.15,15.86,12.55,10.93,4.87,38.58,35.13,87.81,70.33,132.62,75.01,182.88,46.77,2311.2,0.0,0.0,0.0,6.701943331976738e-07,-7.984468856740215e-06,-5.920697018915456e-05,8.652547634483381e-06,-2.370244761429402e-06,-3.817691661120526e-05,6.701943331976738e-07,-7.984468856740215e-06,-5.920697018915456e-05,0.0,0.0,0.0,6.6098511744708395e-06,-1.4299449701663627e-06,-3.381489038541288e-05,-2.210925310921465e-06,-7.750583586611594e-06,-5.6080694483420545e-05,0.9889476121118371,0.9895745903601838,0.9885406646611684,0.9890397151405115,306007866.3300001,0.9887229483361113,14331.0,22842104.0
1724981440.0,0.9890397151405115,0.9892721003949378,0.9886572891920372,0.989683097464678,163824512.06000003,0.9889476121118371,8299.0,12232112.0,6.86,18.78,15.53,32.75,7.73,4.68,12.4,12.28,38.64,44.0,70.83,23.87,205.24,18.86,1410.0,23.3,166.49,21.66,29.35,105.83,13.57,40.8,16.56,24.32,4.64,43.11,7.45,5.69,6.15,29.03,32.92,22.74,4.86,5.32,4.77,6.19,8.93,59.23,15.87,12.57,10.96,4.89,38.55,35.21,87.64,70.32,132.5,75.1,183.55,46.78,2311.8,0.0,0.0,0.0,4.76995037489925e-05,2.066683940941449e-07,-2.214087528826495e-05,4.40461718306168e-05,9.51865268052898e-06,2.2399868607567593e-05,4.76995037489925e-05,2.066683940941449e-07,-2.214087528826495e-05,0.0,0.0,0.0,5.039958937063619e-05,1.1478757189467653e-05,2.3548513632024505e-05,5.3552329560796335e-05,2.057597301830057e-06,-2.20782242724647e-05,0.9890397151405115,0.9892721003949378,0.9886572891920372,0.989683097464678,163824512.06000003,0.9889476121118371,8299.0,12232112.0
1724981450.0,0.989683097464678,0.9897068035001119,0.9887489029130316,0.9900525489872589,188441815.49999997,0.9890192243889431,8417.0,16416990.0,6.86,18.83,15.47,32.76,7.75,4.67,12.41,12.25,38.62,43.99,70.79,23.87,205.38,18.86,1411.25,23.3,166.29,21.73,29.36,105.92,13.56,40.84,16.57,24.36,4.63,43.16,7.45,5.69,6.15,28.99,33.02,22.75,4.87,5.32,4.78,6.2,8.93,59.34,15.85,12.53,10.98,4.88,38.55,35.17,87.72,70.38,132.74,75.15,184.28,46.9,2314.6,0.0,0.0,0.0,5.258035250127635e-05,1.0387997885596775e-05,3.249527275420727e-05,2.8575838231873022e-05,1.9609660411869795e-05,9.974167590166964e-05,5.258035250127635e-05,1.0387997885596775e-05,3.249527275420727e-05,0.0,0.0,0.0,2.6731755139646084e-05,1.9782168918159402e-05,0.00010544518932235588,4.5054647290595235e-05,1.0203734186237929e-05,3.8181052275566504e-05,0.989683097464678,0.9897068035001119,0.9887489029130316,0.9900525489872589,188441815.49999997,0.9890192243889431,8417.0,16416990.0
1724981460.0,0.9900525489872589,0.9903535966282343,0.9895577854112833,0.9905426484541172,217661725.60999998,0.9896932283862506,10986.0,18029589.0,6.88,18.81,15.5,32.8,7.75,4.68,12.38,12.27,38.65,44.08,70.81,23.85,205.97,18.83,1409.95,23.31,166.28,21.7,29.36,105.83,13.54,40.89,16.61,24.41,4.63,43.19,7.44,5.69,6.16,29.16,33.05,22.71,4.87,5.31,4.78,6.2,8.94,59.34,15.89,12.6,11.0,4.89,38.59,35.15,87.7,70.26,132.56,75.2,183.76,46.9,2314.4,0.0,0.0,0.0,5.2318475969304656e-05,2.25617324740191e-05,0.00010848649229651659,2.3391886822058652e-05,2.2738277974953024e-05,0.00015755191506681922,5.2318475969304656e-05,2.25617324740191e-05,0.00010848649229651659,0.0,0.0,0.0,2.9735495871965392e-05,2.030283208357242e-05,0.00014268081784171195,4.771252202173744e-05,2.2077627929835494e-05,0.0001109247051153858,0.9900525489872589,0.9903535966282343,0.9895577854112833,0.9905426484541172,217661725.60999998,0.9896932283862506,10986.0,18029589.0
1724981470.0,0.9905426484541172,0.9909860996427293,0.9897685666514895,0.990690926200538,210955104.8799999,0.9900536925324525,10338.0,16482857.0,6.88,18.8,15.5,32.83,7.75,4.69,12.4,12.28,38.7,44.07,70.81,23.84,205.47,18.78,1410.0,23.33,166.0,21.74,29.34,105.87,13.52,40.9,16.61,24.45,4.63,43.15,7.46,5.69,6.17,29.15,33.04,22.76,4.88,5.33,4.78,6.19,8.95,59.31,15.9,12.59,11.02,4.9,38.59,35.14,87.64,70.17,132.29,75.02,183.29,46.81,2315.0,0.0,0.0,0.0,6.291453446606124e-05,2.5200815314883098e-05,0.00012108880990285876,3.6334610879111607e-07,1.7042520844188512e-05,0.0001730332192394829,6.291453446606124e-05,2.5200815314883098e-05,0.00012108880990285876,0.0,0.0,0.0,2.590248085173345e-07,1.830895175633644e-05,0.0001791469171138556,5.787921227662972e-05,2.738591949837314e-05,0.0001324080634935203,0.9905426484541172,0.9909860996427293,0.9897685666514895,0.990690926200538,210955104.8799999,0.9900536925324525,10338.0,16482857.0
1724981480.0,0.990690926200538,0.9908704391826848,0.9903761904716498,0.990740514578173,124678833.71999998,0.990534680294754,6400.0,10510877.0,6.88,18.81,15.49,32.81,7.75,4.68,12.39,12.28,38.74,44.08,70.77,23.87,205.8,18.81,1409.95,23.3,165.65,21.72,29.32,105.85,13.53,40.9,16.62,24.44,4.64,43.17,7.47,5.7,6.16,29.18,33.03,22.8,4.88,5.34,4.78,6.19,8.96,59.27,15.9,12.61,11.02,4.89,38.6,35.07,87.6,70.22,132.31,75.16,183.19,46.83,2315.0,0.0,0.0,0.0,3.594198713787414e-05,2.6950121902814877e-05,0.00015513059503454558,-1.8585092931765083e-05,7.413001073987014e-06,0.00015545900738810563,3.594198713787414e-05,2.6950121902814877e-05,0.00015513059503454558,0.0,0.0,0.0,-2.1868472375273823e-05,7.0525872332677545e-06,0.00015991105862420943,3.092465300397228e-05,2.5999353881119388e-05,0.00015657356777960696,0.990690926200538,0.9908704391826848,0.9903761904716498,0.990740514578173,124678833.71999998,0.990534680294754,6400.0,10510877.0
1724981490.0,0.990740514578173,0.9912218235419448,0.9906040261197006,0.9907676444460626,157386013.21,0.990690926200538,7370.0,14792306.0,6.89,18.82,15.49,32.82,7.74,4.68,12.35,12.29,38.67,44.08,70.7,23.87,205.71,18.77,1408.08,23.28,165.27,21.73,29.33,105.85,13.53,40.93,16.65,24.48,4.64,43.24,7.48,5.72,6.17,29.24,33.01,22.83,4.88,5.33,4.8,6.19,8.95,59.25,15.9,12.6,11.02,4.89,38.59,34.97,87.57,70.22,132.3,75.11,182.68,46.82,2315.4,0.0,0.0,0.0,2.1796704062046246e-05,2.3625035301552993e-05,0.0001625872801396657,-2.0894629948920485e-05,1.967679466841548e-06,0.00013591565617316034,2.1796704062046246e-05,2.3625035301552993e-05,0.0001625872801396657,0.0,0.0,0.0,-2.2290813258461335e-05,3.316652095626645e-06,0.0001361303791112684,2.1486316863339072e-05,2.2596999228059936e-05,0.00015919216213378134,0.990740514578173,0.9912218235419448,0.9906040261197006,0.9907676444460626,157386013.21,0.990690926200538,7370.0,14792306.0
